Important Helper,Shift logic,Sell-in price,Category,PCT,BG,PDT,Customer ID,Customer,Anker SKU,202534,202535,202536,202537,202538,202539,202540,202541,202542,202543,202544,202545,202546,202547,202548,202549,202550,202551,202552
52338A1667Z21,2,26,Charging,US_CH,Mobile Charging IPMT,Battery,52338,3PP Distribution Mexico,A1667Z21,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
52338A1667Z31,2,26,Charging,US_CH,Mobile Charging IPMT,Battery,52338,3PP Distribution Mexico,A1667Z31,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
1503A2692J21,2,#N/A,Charging,US_CH,Mobile Charging IPMT,Charger,1503,AAFES,A2692J21,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
1503A1336011,2,65,Charging,US_CH,Mobile Charging IPMT,Battery,1503,AAFES,A1336011,$0.00,$0.00,$0.00,"$5,460.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
1503A2688141,2,43.99,Charging,US_CH,Mobile Charging IPMT,Charger,1503,AAFES,A2688141,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$13,197.00",$0.00,$0.00,$0.00,"$13,197.00",$0.00,$0.00,$0.00,"$13,197.00",$0.00,$0.00,$0.00,$0.00
1503A1339111-1,2,58.49,Charging,US_CH,Mobile Charging IPMT,Battery,1503,AAFES,A1339111-1,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$17,547.00",$0.00,$0.00,$0.00,"$17,547.00",$0.00,$0.00,$0.00,"$17,547.00",$0.00,$0.00,$0.00,$0.00
1503A1695H11,2,65.99,Charging,US_CH,Mobile Charging IPMT,Essential,1503,AAFES,A1695H11,$0.00,$0.00,$0.00,"$10,096.47",$0.00,$0.00,"$19,797.00",$0.00,$0.00,$0.00,"$19,797.00",$0.00,$0.00,$0.00,"$19,797.00",$0.00,$0.00,$0.00,$0.00
1503A8309G11,2,#N/A,Charging,US_CH,Mobile Charging IPMT,Data New Accessories,1503,AAFES,A8309G11,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
1503A8357HA0,2,#N/A,Charging,US_CH,Mobile Charging IPMT,Data New Accessories,1503,AAFES,A8357HA0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
1503A1653H11-1,2,18.59,Charging,US_CH,Mobile Charging IPMT,Essential,1503,AAFES,A1653H11-1,$0.00,$0.00,$0.00,"$3,123.12",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
