Customer,ID,Anker SKU,PDT,Forecast Type,Quarter,Week,Forecast - Units,Forecast Revenue,Delta Units,Delta Revenue,Gap Flag,IsCurrentQ,,,
AAFES,1503,A1336011,Battery,Constrained,Q3 2025,202537,84,"$5,460.00",0.00,$0.00,,TRUE,1503A1336011,65,Fresh Week 35
AAFES,1503,A1336011,Battery,Unconstrained,Q3 2025,202537,84,"$5,460.00",0.00,$0.00,,TRUE,1503A1336011,65,Fresh Week 35
AAFES,1503,A2688141,Charger,Constrained,Q4 2025,202540,300,"$13,197.00",0.00,$0.00,,FALSE,1503A2688141,43.99,Fresh Week 35
AAFES,1503,A2688141,Charger,Unconstrained,Q4 2025,202540,300,"$13,197.00",0.00,$0.00,,FALSE,1503A2688141,43.99,Fresh Week 35
AAFES,1503,A2688141,Charger,Constrained,Q4 2025,202544,300,"$13,197.00",0.00,$0.00,,FALSE,1503A2688141,43.99,Fresh Week 35
AAFES,1503,A2688141,Charger,Unconstrained,Q4 2025,202544,300,"$13,197.00",0.00,$0.00,,FALSE,1503A2688141,43.99,Fresh Week 35
AAFES,1503,A2688141,Charger,Constrained,Q4 2025,202548,300,"$13,197.00",0.00,$0.00,,FALSE,1503A2688141,43.99,Fresh Week 35
AAFES,1503,A2688141,Charger,Unconstrained,Q4 2025,202548,300,"$13,197.00",0.00,$0.00,,FALSE,1503A2688141,43.99,Fresh Week 35
AAFES,1503,A1339111-1,Battery,Constrained,Q4 2025,202540,300,"$17,547.00",0.00,$0.00,,FALSE,1503A1339111-1,58.49,Fresh Week 35
AAFES,1503,A1339111-1,Battery,Unconstrained,Q4 2025,202540,300,"$17,547.00",0.00,$0.00,,FALSE,1503A1339111-1,58.49,Fresh Week 35
AAFES,1503,A1339111-1,Battery,Constrained,Q4 2025,202544,300,"$17,547.00",0.00,$0.00,,FALSE,1503A1339111-1,58.49,Fresh Week 35
AAFES,1503,A1339111-1,Battery,Unconstrained,Q4 2025,202544,300,"$17,547.00",0.00,$0.00,,FALSE,1503A1339111-1,58.49,Fresh Week 35
AAFES,1503,A1339111-1,Battery,Constrained,Q4 2025,202548,300,"$17,547.00",0.00,$0.00,,FALSE,1503A1339111-1,58.49,Fresh Week 35
AAFES,1503,A1339111-1,Battery,Unconstrained,Q4 2025,202548,300,"$17,547.00",0.00,$0.00,,FALSE,1503A1339111-1,58.49,Fresh Week 35
AAFES,1503,A1695H11,Essential,Constrained,Q3 2025,202537,153,"$10,096.47",0.00,$0.00,,TRUE,1503A1695H11,65.99,Fresh Week 35
AAFES,1503,A1695H11,Essential,Unconstrained,Q3 2025,202537,153,"$10,096.47",0.00,$0.00,,TRUE,1503A1695H11,65.99,Fresh Week 35
AAFES,1503,A1695H11,Essential,Constrained,Q4 2025,202540,300,"$19,797.00",0.00,$0.00,,FALSE,1503A1695H11,65.99,Fresh Week 35
AAFES,1503,A1695H11,Essential,Unconstrained,Q4 2025,202540,300,"$19,797.00",0.00,$0.00,,FALSE,1503A1695H11,65.99,Fresh Week 35
AAFES,1503,A1695H11,Essential,Constrained,Q4 2025,202544,300,"$19,797.00",0.00,$0.00,,FALSE,1503A1695H11,65.99,Fresh Week 35
AAFES,1503,A1695H11,Essential,Unconstrained,Q4 2025,202544,300,"$19,797.00",0.00,$0.00,,FALSE,1503A1695H11,65.99,Fresh Week 35
AAFES,1503,A1695H11,Essential,Constrained,Q4 2025,202548,300,"$19,797.00",0.00,$0.00,,FALSE,1503A1695H11,65.99,Fresh Week 35
AAFES,1503,A1695H11,Essential,Unconstrained,Q4 2025,202548,300,"$19,797.00",0.00,$0.00,,FALSE,1503A1695H11,65.99,Fresh Week 35
AAFES,1503,A1653H11-1,Essential,Constrained,Q3 2025,202537,168,"$3,123.12",0.00,$0.00,,TRUE,1503A1653H11-1,18.59,Fresh Week 35
AAFES,1503,A1653H11-1,Essential,Unconstrained,Q3 2025,202537,168,"$3,123.12",0.00,$0.00,,TRUE,1503A1653H11-1,18.59,Fresh Week 35
AAFES,1503,A1618H11-1,Essential,Constrained,Q3 2025,202537,348,"$8,626.92",0.00,$0.00,,TRUE,1503A1618H11-1,24.79,Fresh Week 35
AAFES,1503,A1618H11-1,Essential,Unconstrained,Q3 2025,202537,348,"$8,626.92",0.00,$0.00,,TRUE,1503A1618H11-1,24.79,Fresh Week 35
AAFES,1503,A1388H11-1,Essential,Constrained,Q3 2025,202537,168,"$2,770.32",0.00,$0.00,,TRUE,1503A1388H11-1,16.49,Fresh Week 35
AAFES,1503,A1388H11-1,Essential,Unconstrained,Q3 2025,202537,168,"$2,770.32",0.00,$0.00,,TRUE,1503A1388H11-1,16.49,Fresh Week 35
AAFES,1503,A81F7H21-1,Essential,Constrained,Q3 2025,202537,312,"$4,059.12",0.00,$0.00,,TRUE,1503A81F7H21-1,13.01,Fresh Week 35
AAFES,1503,A81F7H21-1,Essential,Unconstrained,Q3 2025,202537,312,"$4,059.12",0.00,$0.00,,TRUE,1503A81F7H21-1,13.01,Fresh Week 35
AAFES,1503,A2038J21-1,Charger,Constrained,Q3 2025,202537,96,"$2,379.84",0.00,$0.00,,TRUE,1503A2038J21-1,24.79,Fresh Week 35
