PDT,SUM of Delta Units,SUM of Delta Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDT,SUM of Delta Units,SUM of Delta Revenue,,#REF!,,,,Customer,SUM of Delta Units,SUM of Delta Revenue,,,,PDT,SUM of Delta Units,SUM of Delta Revenue
Charger,"-348,379.02","-7,777,609",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Battery,"-44,098","-1,971,001",,,,,,BBY,"27,673","$1,579,390",,,,Charger,"-348,379.02","-7,777,609"
Essential,"-359,245.28","-7,270,922",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charger,"-348,379","-7,777,609",,,,,,TGT,"18,603","$676,100",,,,Essential,"-359,245.28","-7,270,922"
Battery,"-44,097.59","-$1,971,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data New Accessories,-326,"-4,005",,,,,,AT&T,"5,000","$137,500",,,,Battery,"-44,097.59","-$1,971,001"
Wireless,"-28,683.52","-$538,511",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Essential,"-359,245","-7,270,922",,,,,,"Cesium Telecom, Inc.（US）","1,736","$46,499",,,,Wireless,"-28,683.52","-$538,511"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wireless,"-28,684","-538,511",,,,,,SYNNEX,840,"$18,472",,,,Data New Accessories,-325.93,"-$4,005"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grand Total,"-780,731","-17,562,047",,,,,,MicroCenter,105,"$2,800",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grand Total,"53,957","$2,460,761",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,Customer,SUM of Delta Units,SUM of Delta Revenue,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WM,0,$0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C2 Wireless,0,$0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TGT,0,$0,,,,,,
Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BBY,0,$0,,,,,,
SUM of Delta Units,Quarter,Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYNNEX,0,$0,,,,,,
,Q3 2025,,,,Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dancom Malaysia,0,$0,,,,,,
PDT,202536,202537,202538,202539,202540,202541,202542,202543,202544,202545,202546,202547,202548,202549,202550,202551,202552,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grand Total,0,$0,,,,,,
Battery,-418,-1116.970074,-1069.060138,-1612.229985,-4338.437294,-1456.61036,-7530.482195,-962.5308965,-1284.399961,-10471.05798,-2567.500083,-1481.640187,-3021.574865,-4749.220017,-528.3898235,-231.5699824,-1257.91581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
