Rank,SKU,Gap Units,Revenue Impact,Customers Affected,,,,,,,,,,,,,,,Rank,SKU,Gap Units,Revenue Impact,Customers Affected
1,A1384H11-1,"52,563","$1,295,018",3,,,,,,,,,,,,,,,13,A1388H11-1,"10,895","$188,323",5
2,A1367H11-1,"35,545","$957,938",1,,,,,,,,,,,,,,,14,A2326J21-1,"12,808","$148,965",4
3,A1340011,"8,161","$843,113",1,,,,,,,,,,,,,,,1,A1384H11-1,"52,563","$1,295,018",3
4,A1618H11-1,"38,913","$707,827",1,,,,,,,,,,,,,,,12,A81B6H21-1,"32,925","$231,685",3
5,A1383H11-1,"18,496","$673,069",1,,,,,,,,,,,,,,,18,A1695H11,"1,245","$79,144",3
6,A110EH11-1,"29,112","$576,126",1,,,,,,,,,,,,,,,24,B2335J22-1,"4,328","$55,188",3
7,A2038J21-1,"32,250","$332,229",2,,,,,,,,,,,,,,,29,A2654J21-1,"6,961","$39,949",3
8,A1638H11-1,"11,514","$316,635",1,,,,,,,,,,,,,,,30,A2727H41-1,"4,713","$38,468",3
9,A1289011,"4,972","$300,756",1,,,,,,,,,,,,,,,32,A8013H12-1,"5,037","$34,568",3
10,A110DH11-1,"19,676","$281,170",1,,,,,,,,,,,,,,,43,A1636H11-1,985,"$24,926",3
11,A1680H11-1,"11,436","$279,304",2,,,,,,,,,,,,,,,48,A1653H11-1,"1,144","$18,428",3
12,A81B6H21-1,"32,925","$231,685",3,,,,,,,,,,,,,,,50,A2736H11-1,"1,359","$17,082",3
13,A1388H11-1,"10,895","$188,323",5,,,,,,,,,,,,,,,75,B2557J11-1,62,"$3,142",3
14,A2326J21-1,"12,808","$148,965",4,,,,,,,,,,,,,,,7,A2038J21-1,"32,250","$332,229",2
15,A1665HB1,"5,000","$137,500",1,,,,,,,,,,,,,,,11,A1680H11-1,"11,436","$279,304",2
16,A1248H11-1,"5,606","$121,892",2,,,,,,,,,,,,,,,16,A1248H11-1,"5,606","$121,892",2
17,B2643J11-1,"5,200","$109,200",1,,,,,,,,,,,,,,,19,A1112H11-1,"5,265","$75,166",2
18,A1695H11,"1,245","$79,144",3,,,,,,,,,,,,,,,20,A81F6H11-1,"13,559","$71,318",2
19,A1112H11-1,"5,265","$75,166",2,,,,,,,,,,,,,,,21,A2021J21-1,"8,412","$67,082",2
20,A81F6H11-1,"13,559","$71,318",2,,,,,,,,,,,,,,,23,A2732HF1-1,"4,753","$56,981",2
21,A2021J21-1,"8,412","$67,082",2,,,,,,,,,,,,,,,25,A1259H11-1,"2,003","$54,976",2
22,A2656J21-1,"10,340","$64,625",1,,,,,,,,,,,,,,,26,B2548JF1-1,"4,161","$54,521",2
23,A2732HF1-1,"4,753","$56,981",2,,,,,,,,,,,,,,,28,A2337J21-1,"4,498","$42,281",2
24,B2335J22-1,"4,328","$55,188",3,,,,,,,,,,,,,,,31,B25M8J11-1,660,"$34,946",2
