,,,Quarter,Values,,,,,,,,,,,,,,,,,,,,,
,,,Q3 2025,,Q4 2025,,Grand Total,,,,,,,,,,,,,,,,,,
Customer,Anker SKU,PDT,SUM of Delta Units,SUM of Delta Revenue,SUM of Delta Units,SUM of Delta Revenue,SUM of Delta Units,SUM of Delta Revenue,Battery supply shortage ,DP's comment,,,,,,,,,,,,,,,
COSTCO,B2698H21,Charger,"-108,150.00","-$2,886,523.50","-141,850.00","-$3,785,976.50","-250,000.00","-$6,672,500.00",,"No shortage; Unconstrained is the ""real plan"", Holding Constrained where it is until Costco decisions are aligned;  Directions have been to not make weekly adjustments (unless QTD)",1473,1473B2698H21,COSTCO,,,,,,,,,,,,
,B1618H11-3,Essential,,,"-76,000.00","-$2,765,640.00","-76,000.00","-$2,765,640.00",,"No shortage; Unconstrained is the ""real plan"", Holding Constrained where it is until Costco decisions are aligned;  Directions have been to not make weekly adjustments (unless QTD)",1473,1473B1618H11-3,,,,,,,,,,,,,
COSTCO Total,,,"-108,150.00","-$2,886,523.50","-217,850.00","-$6,551,616.50","-326,000.00","-$9,438,140.00",,,,,,,,,,,,,,,,,
BBY,A1340011,Battery,"-1,224.67","-$126,520.66","-5,515.96","-$569,853.73","-6,740.63","-$696,374.39",Shortage High risk,,532,532A1340011,BBY,,,,,,,,,,,,
,A110EH11-1,Essential,,,"-16,897.15","-$385,086.05","-16,897.15","-$385,086.05",Shortage High risk,,532,532A110EH11-1,,,,,,,,,,,,,
,A1695H11,Essential,-861.08,"-$50,114.84","-5,685.09","-$330,871.96","-6,546.16","-$380,986.80",Good,,532,532A1695H11,,,,,,,,,,,,,
,A1388H11-1,Essential,"-3,859.00","-$70,774.06","-16,131.00","-$295,842.54","-19,990.00","-$366,616.60",Shortage High risk,,532,532A1388H11-1,,,,,,,,,,,,,
,A1384H11-1,Essential,"-3,664.70","-$89,785.15","-8,455.35","-$207,156.03","-12,120.05","-$296,941.18",Shortage High risk,,532,532A1384H11-1,,,,,,,,,,,,,
,A1383H11-1,Battery,,,"-6,591.92","-$239,879.96","-6,591.92","-$239,879.96",Good,,532,532A1383H11-1,,,,,,,,,,,,,
,A110DH11-1,Essential,,,"-9,720.43","-$166,122.14","-9,720.43","-$166,122.14",Shortage High risk,,532,532A110DH11-1,,,,,,,,,,,,,
,A2039J21-1,Charger,,,"-10,879.89","-$125,118.75","-10,879.89","-$125,118.75",,,532,532A2039J21-1,,,,,,,,,,,,,
,A2688J41-1,Charger,-840.31,"-$28,528.53","-2,589.42","-$87,910.80","-3,429.73","-$116,439.33",,,532,532A2688J41-1,,,,,,,,,,,,,
,B2335J22-1,Essential,"-1,314.28","-$16,099.93","-4,956.15","-$60,712.88","-6,270.43","-$76,812.81",,,532,532B2335J22-1,,,,,,,,,,,,,
,A1657H11-1,Battery,,,"-1,000.00","-$53,990.00","-1,000.00","-$53,990.00",Good,,532,532A1657H11-1,,,,,,,,,,,,,
,A2038J21-1,Charger,-968.99,"-$11,821.66","-2,004.79","-$24,458.46","-2,973.78","-$36,280.12",Shortage High risk,,532,532A2038J21-1,,,,,,,,,,,,,
,B2322J21-1,Charger,-500.00,"-$10,185.00",-526.02,"-$10,715.04","-1,026.02","-$20,900.04",,,532,532B2322J21-1,,,,,,,,,,,,,
,A2326J21-1,Essential,,,"-1,776.96","-$17,414.16","-1,776.96","-$17,414.16",,,532,532A2326J21-1,,,,,,,,,,,,,
,A1336011,Battery,,,-207.24,"-$17,059.66",-207.24,"-$17,059.66",Good,,532,532A1336011,,,,,,,,,,,,,
,B2544J11,Wireless,-46.45,"-$1,627.25",-298.18,"-$10,445.42",-344.64,"-$12,072.67",,,532,532B2544J11,,,,,,,,,,,,,
,B2524J11-1,Wireless,-78.28,"-$1,517.07",-502.33,"-$9,735.19",-580.61,"-$11,252.26",,,532,532B2524J11-1,,,,,,,,,,,,,
,A2683141,Charger,,,-292.83,"-$11,022.08",-292.83,"-$11,022.08",,,532,532A2683141,,,,,,,,,,,,,
,B2548JF1-1,Wireless,-111.96,"-$1,508.12",-702.97,"-$9,469.07",-814.94,"-$10,977.19",,,532,532B2548JF1-1,,,,,,,,,,,,,
,A2697J41,Charger,,,-225.88,"-$8,325.89",-225.88,"-$8,325.89",,,532,532A2697J41,,,,,,,,,,,,,
,A1680H11-1,Essential,-46.45,"-$1,187.80",-254.31,"-$6,502.63",-300.76,"-$7,690.43",Shortage High risk,,532,532A1680H11-1,,,,,,,,,,,,,
